javax.resource:javax.resource-api;1.7.1;Джава дал архитектуру разъема
org.apache.activemq:activemq-camel;5.14.0;ActiveMQ компонент для Camel
org.apache.camel:camel-core;2.20.2;Маршрутизатор на базе Core Camel POJO
com.sun.xml.bind:jaxb-core;2.2.11;Старый модуль JAXB Core.
org.apache.activemq:activemq-openwire-legacy;5.15.11;Модуль поддержки ActiveMQ Openwire Legacy
org.apache.xbean:xbean-spring;4.14;Xbean-spring предоставляет управляемый схемой проприетарный обработчик пространства имен для контекстов Spring
com.fasterxml.jackson.core:jackson-core;2.6.3;JSON парсер для Java
com.google.code.findbugs:jsr305;1.3.9;Поддержка проекта аннотации jsr305
org.springframework:spring-jms;4.3.7.RELEASE;Spring Framework: JMS
com.google.j2objc:j2objc-annotations;1.1;Набор аннотаций, которые предоставляют дополнительную информацию переводчику J2ObjC для изменения результата перевода.
org.codehaus.mojo:animal-sniffer-annotations;1.14;Животные Sniffer Аннотации
org.springframework:spring-core;4.3.7.RELEASE;Spring Framework: Core
org.apache.camel:camel-ftp;2.20.2;Поддержка Camel FTP
commons-io:commons-io;2.6;Commons-IO содержит служебные классы, реализации потоков, фильтры файлов и классы байтов.
org.springframework:spring-expression;4.3.7.RELEASE;Spring Expression Language (SpEL)
org.apache.activemq:activemq-spring;5.15.11;ActiveMQ Spring Integration
org.apache.camel:camel-stream;2.20.2;Поддержка Camel Stream (System.in, System.out, System.err)
org.apache.camel:camel-spring;2.20.2;Поддержка Camel Spring
com.google.errorprone:error_prone_annotations;2.0.18;Подверженные ошибкам аннотации
org.springframework:spring-tx;4.3.7.RELEASE;Spring Framework: транзакция
org.apache.geronimo.specs:geronimo-jta_1.1_spec;1.1.1;Зота 1,5
org.apache.activemq:activemq-pool;5.15.11;ActiveMQ пул соединений фабрика
org.apache.camel:camel-test;2.20.2;Библиотека тестирования верблюдов
com.google.guava:guava;22.0;Guava - это набор базовых и расширенных библиотек, которые включают в себя служебные классы, коллекции Google, io-классы и многое другое.
org.apache.activemq:activemq-client;5.15.11;Реализация клиента ActiveMQ
org.springframework:spring-beans;4.3.7.RELEASE;Spring Framework: Beans
org.springframework:spring-messaging;4.3.7.RELEASE;Spring Messaging
org.apache.activemq:activemq-jms-pool;5.15.11;Общий JMS-пул ConnectionFactory
com.sun.xml.bind:jaxb-impl;2.2.11;Старый JAXB Runtime модуль.
org.hamcrest:hamcrest-core;1.3;Core Hamcrest API - устарел, используйте вместо него «hamcrest»
org.apache.geronimo.specs:geronimo-jms_1.1_spec;1.1.1;JMS 1.1
org.slf4j:slf4j-api;1.7.13;API slf4j
org.fusesource.hawtbuf:hawtbuf;1.11;HawtBuf
junit:junit;4.12;Этот файл является частью угрюмых модулей.
org.springframework:spring-aop;4.3.7.RELEASE;Spring Framework: AOP
com.jcraft:jsch;0.1.54;JSch - это чистая Java-реализация SSH2
com.fasterxml.jackson.core:jackson-annotations;2.6.3;JSON парсер для Java
javax.transaction:javax.transaction-api;1.2;API-интерфейс Project GlassFish для Java-транзакций
org.apache.activemq:activemq-broker;5.15.11;Реализация ActiveMQ Message Broker
commons-logging:commons-logging;1.0.3;Apache Commons Logging - это тонкий адаптер, позволяющий настраивать мостовое соединение с другими, хорошо известными системами ведения журналов
org.apache.geronimo.specs:geronimo-j2ee-management_1.1_spec;1.0.1;J2EE Management 1.1
org.springframework:spring-context;4.3.7.RELEASE;Spring Framework: контекст
org.apache.camel:camel-jms;2.16.3;Поддержка Camel JMS
org.apache.commons:commons-pool2;2.4.2;Библиотека пула объектов Apache Commons.
com.fasterxml.jackson.core:jackson-databind;2.6.3;JSON парсер для Java
org.projectlombok:lombok;1.16.12;Приправьте Java: автоматическое управление ресурсами, автоматическая генерация методов получения, установки, равенства, hashCode и toString и многое другое!
commons-net:commons-net;3.6;Это Java-библиотека набора интернет-протоколов, изначально разработанная ORO, Inc. Эта версия поддерживает Finger, Whois, TFTP, Telnet, POP3, FTP, NNTP, SMTP и некоторые другие протоколы, такие как Time и Echo, а также поддержку команд BSD R. Цель библиотеки - обеспечить доступ к основному протоколу, а не к абстракциям более высокого уровня. Поэтому часть дизайна нарушает принципы объектно-ориентированного проектирования. Наша философия заключается в том, чтобы сделать глобальную функциональность протокольного доступа (например, отправляющий файл TFTP и принимаемый файл), когда это возможно, но также обеспечить доступ к основным протоколам, где это применимо, чтобы программист мог создавать свои собственные пользовательские реализации (например, TFTP). классы пакетов и методы отправки и получения пакетов TFTP). Изначально NetComponents был коммерческим продуктом, но после того, как ORO распался, его продолжали делать доступным для тех, кто нашел его полезным. Однако с момента версии 1.3.8, выпущенной в 1998 году, никаких обновлений сделано не было. Теперь, когда определенные обязательства по контракту истекли, можно сделать исходный код свободно доступным в рамках лицензии на программное обеспечение Apache.
